epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.403,0.5903,2.76447,0.97978,0.01526,0.87929,0.32261,0.27509,0.44418,2.77722,0.84069,0.00030009,0.00030009,0.00030009
2,221.02,0.54496,1.88014,0.9499,0.01497,0.88325,0.44777,0.3792,0.46921,2.50105,0.85182,0.000584054,0.000584054,0.000584054
3,296.73,0.54561,1.33168,0.94035,0.57722,0.42019,0.49103,0.39259,0.56231,2.03451,0.92996,0.000836894,0.000836894,0.000836894
4,335.924,0.52485,1.16294,0.93001,0.47442,0.38017,0.41376,0.33399,0.57709,1.97374,0.97096,0.00105861,0.00105861,0.00105861
5,371.074,0.48924,1.02978,0.91437,0.38384,0.40872,0.36236,0.30264,0.60459,1.91543,0.99178,0.00114606,0.00114606,0.00114606
6,408.937,0.50849,1.01832,0.91462,0.62641,0.4824,0.54807,0.48076,0.47592,1.17481,0.87873,0.00107532,0.00107532,0.00107532
7,434.826,0.4865,0.94111,0.91062,0.73454,0.72133,0.72846,0.61514,0.46301,1.02578,0.87327,0.00100459,0.00100459,0.00100459
8,470.035,0.47699,0.88012,0.89747,0.78456,0.65951,0.73414,0.62821,0.4417,0.91704,0.85778,0.000933851,0.000933851,0.000933851
9,499.644,0.45483,0.82869,0.88635,0.81444,0.70481,0.77351,0.66028,0.4346,0.81403,0.85337,0.000863116,0.000863116,0.000863116
10,541.132,0.43722,0.8181,0.88606,0.81144,0.64497,0.7492,0.66134,0.4039,0.8065,0.84863,0.00079238,0.00079238,0.00079238
11,599.596,0.37242,0.8923,0.84156,0.81385,0.64429,0.71101,0.61271,0.41133,0.91558,0.85528,0.000721645,0.000721645,0.000721645
12,640.308,0.35797,0.81801,0.83123,0.73924,0.64398,0.72313,0.62347,0.41261,0.90413,0.85816,0.000650909,0.000650909,0.000650909
13,674.624,0.36461,0.76852,0.83959,0.79179,0.74253,0.79483,0.69345,0.40024,0.71336,0.84814,0.000580174,0.000580174,0.000580174
14,700.992,0.34834,0.73609,0.82093,0.68177,0.65447,0.67939,0.6017,0.38435,0.89859,0.84536,0.000509438,0.000509438,0.000509438
15,738.564,0.33838,0.7068,0.82856,0.88989,0.65756,0.79058,0.69692,0.36768,0.77667,0.83601,0.000438703,0.000438703,0.000438703
16,765.579,0.31965,0.67118,0.82678,0.77533,0.69571,0.76151,0.68608,0.35909,0.74377,0.83376,0.000367967,0.000367967,0.000367967
17,799.762,0.315,0.63312,0.82501,0.76599,0.75296,0.79187,0.71322,0.35498,0.71612,0.83433,0.000297232,0.000297232,0.000297232
18,831.446,0.30706,0.60416,0.81455,0.87015,0.72299,0.82418,0.735,0.34228,0.64253,0.8238,0.000226497,0.000226497,0.000226497
19,868.827,0.29258,0.58118,0.80795,0.773,0.7854,0.81449,0.73303,0.33465,0.64977,0.82445,0.000155761,0.000155761,0.000155761
20,890.204,0.28199,0.55068,0.80721,0.8334,0.7754,0.82315,0.74959,0.33423,0.62428,0.82266,8.50255e-05,8.50255e-05,8.50255e-05
